Time,U,I1,I2,D,Ve
0.000000e+00,9.997772e-01,2.227668e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.997772e-01,2.227668e-04,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,0.000000e+00
5.000000e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,0.000000e+00
6.666667e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,3.012591e-03
8.333333e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,6.064015e-03
1.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,9.180992e-03
1.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.239093e-02
1.333333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.572214e-02
1.500000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.920411e-02
1.666667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,2.286779e-02
1.833333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,2.674581e-02
2.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,3.087283e-02
2.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,3.528577e-02
2.333333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,4.002425e-02
2.500000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,4.513083e-02
2.666667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,5.065155e-02
2.833333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,5.663616e-02
3.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,6.313867e-02
3.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,7.021782e-02
3.333333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,7.793760e-02
3.500000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,8.636788e-02
3.666667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,9.558496e-02
3.833333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.056723e-01
4.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.167214e-01
4.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.288323e-01
